ParticipantName,Subphase,FramesFromSubphaseOnset,TimeFromSubphaseOnset,Position,SceneType,TrackLoss,TargetLooks,Condition,Exclusion,Language,AgentType
KKMAX001,Sem-Fam2,0,0,NA,.,0,0,Con5,0,Korean,DifferentAgent
KKMAX001,Sem-Fam2,1,33,NA,.,0,0,Con5,0,Korean,DifferentAgent
KKMAX001,Sem-Fam2,2,67,NA,.,0,0,Con5,0,Korean,DifferentAgent
KKMAX001,Sem-Fam2,3,100,NA,.,0,0,Con5,0,Korean,DifferentAgent
KKMAX001,Sem-Fam2,4,133,NA,.,0,0,Con5,0,Korean,DifferentAgent
KKMAX001,Sem-Fam2,5,167,NA,.,0,0,Con5,0,Korean,DifferentAgent
KKMAX001,Sem-Fam2,6,200,Right,target,0,1,Con5,0,Korean,DifferentAgent
KKMAX001,Sem-Fam2,7,233,Right,target,0,1,Con5,0,Korean,DifferentAgent
KKMAX001,Sem-Fam2,8,267,Right,target,0,1,Con5,0,Korean,DifferentAgent
KKMAX001,Sem-Fam2,9,300,Right,target,0,1,Con5,0,Korean,DifferentAgent
KKMAX001,Sem-Fam2,10,333,Right,target,0,1,Con5,0,Korean,DifferentAgent
KKMAX001,Sem-Fam2,11,367,Right,target,0,1,Con5,0,Korean,DifferentAgent
KKMAX001,Sem-Fam2,12,400,Right,target,0,1,Con5,0,Korean,DifferentAgent
KKMAX001,Sem-Fam2,13,433,Right,target,0,1,Con5,0,Korean,DifferentAgent
KKMAX001,Sem-Fam2,14,467,Right,target,0,1,Con5,0,Korean,DifferentAgent
KKMAX001,Sem-Fam2,15,500,Right,target,0,1,Con5,0,Korean,DifferentAgent
KKMAX001,Sem-Fam2,16,533,Right,target,0,1,Con5,0,Korean,DifferentAgent
KKMAX001,Sem-Fam2,17,567,Right,target,0,1,Con5,0,Korean,DifferentAgent
KKMAX001,Sem-Fam2,18,600,Right,target,0,1,Con5,0,Korean,DifferentAgent
KKMAX001,Sem-Fam2,19,633,Right,target,0,1,Con5,0,Korean,DifferentAgent
KKMAX001,Sem-Fam2,20,667,Right,target,0,1,Con5,0,Korean,DifferentAgent
KKMAX001,Sem-Fam2,21,700,Right,target,0,1,Con5,0,Korean,DifferentAgent
KKMAX001,Sem-Fam2,22,733,Right,target,0,1,Con5,0,Korean,DifferentAgent
KKMAX001,Sem-Fam2,23,767,Right,target,0,1,Con5,0,Korean,DifferentAgent
KKMAX001,Sem-Fam2,24,800,Right,target,0,1,Con5,0,Korean,DifferentAgent
KKMAX001,Sem-Fam2,25,833,Right,target,0,1,Con5,0,Korean,DifferentAgent
KKMAX001,Sem-Fam2,26,867,Right,target,0,1,Con5,0,Korean,DifferentAgent
KKMAX001,Sem-Fam2,27,900,Right,target,0,1,Con5,0,Korean,DifferentAgent
KKMAX001,Sem-Fam2,28,933,Right,target,0,1,Con5,0,Korean,DifferentAgent
KKMAX001,Sem-Fam2,29,967,Right,target,0,1,Con5,0,Korean,DifferentAgent
KKMAX001,Sem-Fam2,30,1000,Right,target,0,1,Con5,0,Korean,DifferentAgent
KKMAX001,Sem-Fam2,31,1033,Right,target,0,1,Con5,0,Korean,DifferentAgent
KKMAX001,Sem-Fam2,32,1067,Right,target,0,1,Con5,0,Korean,DifferentAgent
KKMAX001,Sem-Fam2,33,1100,Right,target,0,1,Con5,0,Korean,DifferentAgent
KKMAX001,Sem-Fam2,34,1133,Right,target,0,1,Con5,0,Korean,DifferentAgent
KKMAX001,Sem-Fam2,35,1167,Right,target,0,1,Con5,0,Korean,DifferentAgent
KKMAX001,Sem-Fam2,36,1200,Right,target,0,1,Con5,0,Korean,DifferentAgent
KKMAX001,Sem-Fam2,37,1233,Right,target,0,1,Con5,0,Korean,DifferentAgent
KKMAX001,Sem-Fam2,38,1267,Right,target,0,1,Con5,0,Korean,DifferentAgent
KKMAX001,Sem-Fam2,39,1300,Right,target,0,1,Con5,0,Korean,DifferentAgent
KKMAX001,Sem-Fam2,40,1333,Right,target,0,1,Con5,0,Korean,DifferentAgent
KKMAX001,Sem-Fam2,41,1367,Right,target,0,1,Con5,0,Korean,DifferentAgent
KKMAX001,Sem-Fam2,42,1400,Right,target,0,1,Con5,0,Korean,DifferentAgent
KKMAX001,Sem-Fam2,43,1433,Right,target,0,1,Con5,0,Korean,DifferentAgent
KKMAX001,Sem-Fam2,44,1467,Right,target,0,1,Con5,0,Korean,DifferentAgent
KKMAX001,Sem-Fam2,45,1500,Right,target,0,1,Con5,0,Korean,DifferentAgent
KKMAX001,Sem-Fam2,46,1533,Right,target,0,1,Con5,0,Korean,DifferentAgent
KKMAX001,Sem-Fam2,47,1567,Right,target,0,1,Con5,0,Korean,DifferentAgent
KKMAX001,Sem-Fam2,48,1600,Right,target,0,1,Con5,0,Korean,DifferentAgent
KKMAX001,Sem-Fam2,49,1633,Right,target,0,1,Con5,0,Korean,DifferentAgent
KKMAX001,Sem-Fam2,50,1667,Right,target,0,1,Con5,0,Korean,DifferentAgent
KKMAX001,Sem-Fam2,51,1700,Right,target,0,1,Con5,0,Korean,DifferentAgent
KKMAX001,Sem-Fam2,52,1733,Right,target,0,1,Con5,0,Korean,DifferentAgent
KKMAX001,Sem-Fam2,53,1767,Right,target,0,1,Con5,0,Korean,DifferentAgent
KKMAX001,Sem-Fam2,54,1800,Right,target,0,1,Con5,0,Korean,DifferentAgent
KKMAX001,Sem-Fam2,55,1833,Right,target,0,1,Con5,0,Korean,DifferentAgent
KKMAX001,Sem-Fam2,56,1867,Right,target,0,1,Con5,0,Korean,DifferentAgent
KKMAX001,Sem-Fam2,57,1900,Right,target,0,1,Con5,0,Korean,DifferentAgent
KKMAX001,Sem-Fam2,58,1933,Right,target,0,1,Con5,0,Korean,DifferentAgent
KKMAX001,Sem-Fam2,59,1967,Right,target,0,1,Con5,0,Korean,DifferentAgent
KKMAX001,Sem-Fam2,60,2000,Right,target,0,1,Con5,0,Korean,DifferentAgent
KKMAX001,Sem-Fam2,61,2033,Right,target,0,1,Con5,0,Korean,DifferentAgent
KKMAX001,Sem-Fam2,62,2067,Right,target,0,1,Con5,0,Korean,DifferentAgent
KKMAX001,Sem-Fam2,63,2100,Right,target,0,1,Con5,0,Korean,DifferentAgent
KKMAX001,Sem-Fam2,64,2133,Right,target,0,1,Con5,0,Korean,DifferentAgent
KKMAX001,Sem-Fam2,65,2167,Right,target,0,1,Con5,0,Korean,DifferentAgent
KKMAX001,Sem-Fam2,66,2200,Right,target,0,1,Con5,0,Korean,DifferentAgent
KKMAX001,Sem-Fam2,67,2233,Right,target,0,1,Con5,0,Korean,DifferentAgent
KKMAX001,Sem-Fam2,68,2267,Right,target,0,1,Con5,0,Korean,DifferentAgent
KKMAX001,Sem-Fam2,69,2300,Right,target,0,1,Con5,0,Korean,DifferentAgent
KKMAX001,Sem-Fam2,70,2333,Right,target,0,1,Con5,0,Korean,DifferentAgent
KKMAX001,Sem-Fam2,71,2367,Right,target,0,1,Con5,0,Korean,DifferentAgent
KKMAX001,Sem-Fam2,72,2400,Right,target,0,1,Con5,0,Korean,DifferentAgent
KKMAX001,Sem-Fam2,73,2433,Right,target,0,1,Con5,0,Korean,DifferentAgent
KKMAX001,Sem-Fam2,74,2467,NA,.,0,0,Con5,0,Korean,DifferentAgent
KKMAX001,Blick-Fam2,0,0,NA,.,0,0,Con5,0,Korean,DifferentAgent
KKMAX001,Blick-Fam2,1,33,NA,.,0,0,Con5,0,Korean,DifferentAgent
KKMAX001,Blick-Fam2,2,67,NA,.,0,0,Con5,0,Korean,DifferentAgent
KKMAX001,Blick-Fam2,3,100,NA,.,0,0,Con5,0,Korean,DifferentAgent
KKMAX001,Blick-Fam2,4,133,NA,.,0,0,Con5,0,Korean,DifferentAgent
KKMAX001,Blick-Fam2,5,167,NA,.,0,0,Con5,0,Korean,DifferentAgent
KKMAX001,Blick-Fam2,6,200,NA,.,0,0,Con5,0,Korean,DifferentAgent
KKMAX001,Blick-Fam2,7,233,NA,.,0,0,Con5,0,Korean,DifferentAgent
KKMAX001,Blick-Fam2,8,267,NA,.,0,0,Con5,0,Korean,DifferentAgent
KKMAX001,Blick-Fam2,9,300,Right,target,0,1,Con5,0,Korean,DifferentAgent
KKMAX001,Blick-Fam2,10,333,Right,target,0,1,Con5,0,Korean,DifferentAgent
KKMAX001,Blick-Fam2,11,367,Right,target,0,1,Con5,0,Korean,DifferentAgent
KKMAX001,Blick-Fam2,12,400,Right,target,0,1,Con5,0,Korean,DifferentAgent
KKMAX001,Blick-Fam2,13,433,Right,target,0,1,Con5,0,Korean,DifferentAgent
KKMAX001,Blick-Fam2,14,467,Right,target,0,1,Con5,0,Korean,DifferentAgent
KKMAX001,Blick-Fam2,15,500,Right,target,0,1,Con5,0,Korean,DifferentAgent
KKMAX001,Blick-Fam2,16,533,Right,target,0,1,Con5,0,Korean,DifferentAgent
KKMAX001,Blick-Fam2,17,567,Right,target,0,1,Con5,0,Korean,DifferentAgent
KKMAX001,Blick-Fam2,18,600,Right,target,0,1,Con5,0,Korean,DifferentAgent
KKMAX001,Blick-Fam2,19,633,Right,target,0,1,Con5,0,Korean,DifferentAgent
