ParticipantName,Language,Condition,Subphase,TimeFromSubphaseOnset,Position,SceneType,TrackLoss,TargetLooks,AgentType
KKMAX001,Korean,Con5,Sem-Fam2,0,NA,.,0,0,DifferentAgent
KKMAX001,Korean,Con5,Sem-Fam2,33,NA,.,0,0,DifferentAgent
KKMAX001,Korean,Con5,Sem-Fam2,67,NA,.,0,0,DifferentAgent
KKMAX001,Korean,Con5,Sem-Fam2,100,NA,.,0,0,DifferentAgent
KKMAX001,Korean,Con5,Sem-Fam2,133,NA,.,0,0,DifferentAgent
KKMAX001,Korean,Con5,Sem-Fam2,167,NA,.,0,0,DifferentAgent
KKMAX001,Korean,Con5,Sem-Fam2,200,Right,target,0,1,DifferentAgent
KKMAX001,Korean,Con5,Sem-Fam2,233,Right,target,0,1,DifferentAgent
KKMAX001,Korean,Con5,Sem-Fam2,267,Right,target,0,1,DifferentAgent
KKMAX001,Korean,Con5,Sem-Fam2,300,Right,target,0,1,DifferentAgent
KKMAX001,Korean,Con5,Sem-Fam2,333,Right,target,0,1,DifferentAgent
KKMAX001,Korean,Con5,Sem-Fam2,367,Right,target,0,1,DifferentAgent
KKMAX001,Korean,Con5,Sem-Fam2,400,Right,target,0,1,DifferentAgent
KKMAX001,Korean,Con5,Sem-Fam2,433,Right,target,0,1,DifferentAgent
KKMAX001,Korean,Con5,Sem-Fam2,467,Right,target,0,1,DifferentAgent
KKMAX001,Korean,Con5,Sem-Fam2,500,Right,target,0,1,DifferentAgent
KKMAX001,Korean,Con5,Sem-Fam2,533,Right,target,0,1,DifferentAgent
KKMAX001,Korean,Con5,Sem-Fam2,567,Right,target,0,1,DifferentAgent
KKMAX001,Korean,Con5,Sem-Fam2,600,Right,target,0,1,DifferentAgent
KKMAX001,Korean,Con5,Sem-Fam2,633,Right,target,0,1,DifferentAgent
KKMAX001,Korean,Con5,Sem-Fam2,667,Right,target,0,1,DifferentAgent
KKMAX001,Korean,Con5,Sem-Fam2,700,Right,target,0,1,DifferentAgent
KKMAX001,Korean,Con5,Sem-Fam2,733,Right,target,0,1,DifferentAgent
KKMAX001,Korean,Con5,Sem-Fam2,767,Right,target,0,1,DifferentAgent
KKMAX001,Korean,Con5,Sem-Fam2,800,Right,target,0,1,DifferentAgent
KKMAX001,Korean,Con5,Sem-Fam2,833,Right,target,0,1,DifferentAgent
KKMAX001,Korean,Con5,Sem-Fam2,867,Right,target,0,1,DifferentAgent
KKMAX001,Korean,Con5,Sem-Fam2,900,Right,target,0,1,DifferentAgent
KKMAX001,Korean,Con5,Sem-Fam2,933,Right,target,0,1,DifferentAgent
KKMAX001,Korean,Con5,Sem-Fam2,967,Right,target,0,1,DifferentAgent
KKMAX001,Korean,Con5,Sem-Fam2,1000,Right,target,0,1,DifferentAgent
KKMAX001,Korean,Con5,Sem-Fam2,1033,Right,target,0,1,DifferentAgent
KKMAX001,Korean,Con5,Sem-Fam2,1067,Right,target,0,1,DifferentAgent
KKMAX001,Korean,Con5,Sem-Fam2,1100,Right,target,0,1,DifferentAgent
KKMAX001,Korean,Con5,Sem-Fam2,1133,Right,target,0,1,DifferentAgent
KKMAX001,Korean,Con5,Sem-Fam2,1167,Right,target,0,1,DifferentAgent
KKMAX001,Korean,Con5,Sem-Fam2,1200,Right,target,0,1,DifferentAgent
KKMAX001,Korean,Con5,Sem-Fam2,1233,Right,target,0,1,DifferentAgent
KKMAX001,Korean,Con5,Sem-Fam2,1267,Right,target,0,1,DifferentAgent
KKMAX001,Korean,Con5,Sem-Fam2,1300,Right,target,0,1,DifferentAgent
KKMAX001,Korean,Con5,Sem-Fam2,1333,Right,target,0,1,DifferentAgent
KKMAX001,Korean,Con5,Sem-Fam2,1367,Right,target,0,1,DifferentAgent
KKMAX001,Korean,Con5,Sem-Fam2,1400,Right,target,0,1,DifferentAgent
KKMAX001,Korean,Con5,Sem-Fam2,1433,Right,target,0,1,DifferentAgent
KKMAX001,Korean,Con5,Sem-Fam2,1467,Right,target,0,1,DifferentAgent
KKMAX001,Korean,Con5,Sem-Fam2,1500,Right,target,0,1,DifferentAgent
KKMAX001,Korean,Con5,Sem-Fam2,1533,Right,target,0,1,DifferentAgent
KKMAX001,Korean,Con5,Sem-Fam2,1567,Right,target,0,1,DifferentAgent
KKMAX001,Korean,Con5,Sem-Fam2,1600,Right,target,0,1,DifferentAgent
KKMAX001,Korean,Con5,Sem-Fam2,1633,Right,target,0,1,DifferentAgent
KKMAX001,Korean,Con5,Sem-Fam2,1667,Right,target,0,1,DifferentAgent
KKMAX001,Korean,Con5,Sem-Fam2,1700,Right,target,0,1,DifferentAgent
KKMAX001,Korean,Con5,Sem-Fam2,1733,Right,target,0,1,DifferentAgent
KKMAX001,Korean,Con5,Sem-Fam2,1767,Right,target,0,1,DifferentAgent
