Participant,Trial,Correct,Age,Language,AgentType,SentenceType,Experiment
KKMAX001,Sem,1,50.63,Korean,DifferentAgent,OvertSubject,experiment1
KKMAX001,Blick,1,50.63,Korean,DifferentAgent,OvertSubject,experiment1
KKMAX001,Larp,0,50.63,Korean,DifferentAgent,OvertSubject,experiment1
KKMAX002,Sem,0,51.48,Korean,SameAgent,OvertSubject,experiment1
KKMAX002,Larp,1,51.48,Korean,SameAgent,OvertSubject,experiment1
KKMAX003,Sem,0,48.95,Korean,DifferentAgent,OvertSubject,experiment1
KKMAX003,Blick,1,48.95,Korean,DifferentAgent,OvertSubject,experiment1
KKMAX003,Larp,1,48.95,Korean,DifferentAgent,OvertSubject,experiment1
KKMAX004,Sem,0,55.16,Korean,SameAgent,DroppedSubject,experiment2
KKMAX004,Blick,1,55.16,Korean,SameAgent,DroppedSubject,experiment2
KKMAX004,Larp,0,55.16,Korean,SameAgent,DroppedSubject,experiment2
KKMAX005,Sem,1,51.58,Korean,DifferentAgent,DroppedSubject,experiment2
KKMAX005,Blick,1,51.58,Korean,DifferentAgent,DroppedSubject,experiment2
KKMAX005,Larp,1,51.58,Korean,DifferentAgent,DroppedSubject,experiment2
KKMAX006,Sem,1,49.35,Korean,SameAgent,DroppedSubject,experiment2
KKMAX006,Blick,0,49.35,Korean,SameAgent,DroppedSubject,experiment2
KKMAX006,Larp,1,49.35,Korean,SameAgent,DroppedSubject,experiment2
KKMAX007,Sem,0,52.3,Korean,SameAgent,OvertSubject,experiment1
KKMAX007,Blick,1,52.3,Korean,SameAgent,OvertSubject,experiment1
KKMAX007,Larp,1,52.3,Korean,SameAgent,OvertSubject,experiment1
KKMAX008,Blick,1,54.24,Korean,DifferentAgent,DroppedSubject,experiment2
KKMAX008,Larp,0,54.24,Korean,DifferentAgent,DroppedSubject,experiment2
KKMAX009,Sem,1,48.16,Korean,DifferentAgent,OvertSubject,experiment1
KKMAX009,Blick,1,48.16,Korean,DifferentAgent,OvertSubject,experiment1
KKMAX009,Larp,1,48.16,Korean,DifferentAgent,OvertSubject,experiment1
KKMAX011,Sem,1,61.04,Korean,DifferentAgent,DroppedSubject,experiment2
KKMAX011,Blick,1,61.04,Korean,DifferentAgent,DroppedSubject,experiment2
KKMAX011,Larp,0,61.04,Korean,DifferentAgent,DroppedSubject,experiment2
KKMAX012,Sem,1,50.66,Korean,SameAgent,OvertSubject,experiment1
KKMAX012,Blick,1,50.66,Korean,SameAgent,OvertSubject,experiment1
KKMAX012,Larp,1,50.66,Korean,SameAgent,OvertSubject,experiment1
KKMAX013,Sem,1,48.49,Korean,SameAgent,DroppedSubject,experiment2
KKMAX013,Blick,0,48.49,Korean,SameAgent,DroppedSubject,experiment2
KKMAX013,Larp,1,48.49,Korean,SameAgent,DroppedSubject,experiment2
KKMAX015,Sem,1,55.06,Korean,DifferentAgent,OvertSubject,experiment1
KKMAX015,Blick,1,55.06,Korean,DifferentAgent,OvertSubject,experiment1
KKMAX015,Larp,0,55.06,Korean,DifferentAgent,OvertSubject,experiment1
KKMAX016,Sem,0,54.44,Korean,SameAgent,OvertSubject,experiment1
KKMAX016,Blick,1,54.44,Korean,SameAgent,OvertSubject,experiment1
KKMAX016,Larp,1,54.44,Korean,SameAgent,OvertSubject,experiment1
KKMAX017,Blick,0,55.72,Korean,DifferentAgent,OvertSubject,experiment1
KKMAX017,Larp,1,55.72,Korean,DifferentAgent,OvertSubject,experiment1
KKMAX018,Sem,1,48.49,Korean,SameAgent,DroppedSubject,experiment2
KKMAX018,Blick,1,48.49,Korean,SameAgent,DroppedSubject,experiment2
KKMAX018,Larp,1,48.49,Korean,SameAgent,DroppedSubject,experiment2
KKMAX019,Sem,0,63.38,Korean,SameAgent,DroppedSubject,experiment2
KKMAX019,Blick,1,63.38,Korean,SameAgent,DroppedSubject,experiment2
KKMAX019,Larp,1,63.38,Korean,SameAgent,DroppedSubject,experiment2
KKMAX020,Sem,0,53.82,Korean,SameAgent,OvertSubject,experiment1
KKMAX020,Blick,1,53.82,Korean,SameAgent,OvertSubject,experiment1
KKMAX020,Larp,0,53.82,Korean,SameAgent,OvertSubject,experiment1
KKMAX021,Sem,0,64.82,Korean,SameAgent,DroppedSubject,experiment2
KKMAX021,Blick,0,64.82,Korean,SameAgent,DroppedSubject,experiment2
KKMAX021,Larp,0,64.82,Korean,SameAgent,DroppedSubject,experiment2
KKMAX022,Sem,0,48.36,Korean,SameAgent,OvertSubject,experiment1
KKMAX022,Blick,1,48.36,Korean,SameAgent,OvertSubject,experiment1
KKMAX022,Larp,1,48.36,Korean,SameAgent,OvertSubject,experiment1
KKMAX023,Sem,1,66.89,Korean,DifferentAgent,DroppedSubject,experiment2
KKMAX023,Blick,1,66.89,Korean,DifferentAgent,DroppedSubject,experiment2
KKMAX023,Larp,1,66.89,Korean,DifferentAgent,DroppedSubject,experiment2
KKMAX024,Sem,0,68.01,Korean,DifferentAgent,DroppedSubject,experiment2
KKMAX024,Blick,1,68.01,Korean,DifferentAgent,DroppedSubject,experiment2
KKMAX024,Larp,1,68.01,Korean,DifferentAgent,DroppedSubject,experiment2
KKMAX027,Sem,1,70.97,Korean,SameAgent,OvertSubject,experiment1
KKMAX027,Blick,0,70.97,Korean,SameAgent,OvertSubject,experiment1
KKMAX027,Larp,1,70.97,Korean,SameAgent,OvertSubject,experiment1
KKMAX028,Sem,0,70.97,Korean,DifferentAgent,DroppedSubject,experiment2
KKMAX028,Blick,1,70.97,Korean,DifferentAgent,DroppedSubject,experiment2
