Participant,Trial,FramesFromSubphaseOnset,TimeFromSubphaseOnset,GazeXAvg,GazeYAvg,Position,SceneType,TrackLoss,TargetLooks,Exclusion,Language,AgentType,SentenceType
KMAX001,Sem,0,0,1560.5105,1029.612,NA,.,0,0,0,Korean,DifferentAgent,OvertSubject
KMAX001,Sem,1,33,1593.3455,994.9136,NA,.,0,0,0,Korean,DifferentAgent,OvertSubject
KMAX001,Sem,2,67,1577.116,1028.662,NA,.,0,0,0,Korean,DifferentAgent,OvertSubject
KMAX001,Sem,3,100,1591.585,1028.3485,NA,.,0,0,0,Korean,DifferentAgent,OvertSubject
KMAX001,Sem,4,133,1577.4995,1031.2315,NA,.,0,0,0,Korean,DifferentAgent,OvertSubject
KMAX001,Sem,5,167,1583.492,1015.763,NA,.,0,0,0,Korean,DifferentAgent,OvertSubject
KMAX001,Sem,6,200,1416.271,774.8438,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Sem,7,233,1306.8225,638.6278,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Sem,8,267,1293.4575,566.53695,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Sem,9,300,1295.069,598.26785,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Sem,10,333,1300.138,599.469,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Sem,11,367,1303.366,597.7349,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Sem,12,400,1299.298,590.4817,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Sem,13,433,1341.831,669.04195,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Sem,14,467,1350.894,701.5844,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Sem,15,500,1349.982,693.45965,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Sem,16,533,1355.684,697.7598,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Sem,17,567,1349.8455,719.9597,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Sem,18,600,1356.536,672.19395,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Sem,19,633,1353.8225,506.31055,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Sem,20,667,1362.7795,480.06595,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Sem,21,700,1362.076,498.38045,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Sem,22,733,1366.884,491.74155,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Sem,23,767,1360.9485,490.79545,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Sem,24,800,1360.719,496.49715,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Sem,25,833,1348.8615,470.2422,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Sem,26,867,1348.532,455.3389,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Sem,27,900,1343.7065,439.61115,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Sem,28,933,1351.989,440.90475,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Sem,29,967,1342.229,408.154,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Sem,30,1000,1339.2985,381.77835,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Sem,31,1033,1339.3905,387.4885,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Sem,32,1067,1340.3795,382.2921,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Sem,33,1100,1343.2615,397.11975,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Sem,34,1133,1341.085,381.67635,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Sem,35,1167,1344.2525,379.6819,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Sem,36,1200,1348.7845,386.5176,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Sem,37,1233,1342.804,470.83755,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Sem,38,1267,1351.458,506.2218,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Sem,39,1300,1351.6185,503.3303,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Sem,40,1333,1342.7905,492.51405,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Sem,41,1367,1350.0755,440.87535,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Sem,42,1400,1340.333,425.2678,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Sem,43,1433,1342.663,443.8839,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Sem,44,1467,1351.2245,433.16875,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Sem,45,1500,1342.9035,431.57165,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Sem,46,1533,1348.288,443.4243,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Sem,47,1567,1341.6235,443.4221,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Sem,48,1600,1345.8795,438.01275,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Sem,49,1633,1342.2995,427.3027,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Sem,50,1667,1342.2995,427.3027,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Sem,51,1700,1334.248,436.45315,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Sem,52,1733,1342.6075,433.19075,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Sem,53,1767,1340.6685,426.06825,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Sem,54,1800,1343.643,442.74575,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Sem,55,1833,1344.9385,427.1009,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Sem,56,1867,1351.358,418.36415,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Sem,57,1900,1339.894,434.08795,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Sem,58,1933,1343.801,427.8255,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Sem,59,1967,1351.5965,438.5144,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Sem,60,2000,1350.374,432.8554,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Sem,61,2033,1355.119,427.2048,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Sem,62,2067,1350.184,416.7861,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Sem,63,2100,1352.5,430.0194,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Sem,64,2133,1359.457,424.76545,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Sem,65,2167,1355.165,421.7475,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Sem,66,2200,1355.8495,429.648,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Sem,67,2233,1346.679,439.47855,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Sem,68,2267,1349.108,419.51865,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Sem,69,2300,1354.0335,429.6585,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Sem,70,2333,1352.613,440.46635,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Sem,71,2367,1353.205,434.02645,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Sem,72,2400,1347.452,439.3675,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Sem,73,2433,1355.7385,434.19935,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Sem,74,2467,1096.6515,423.26175,NA,.,0,0,0,Korean,DifferentAgent,OvertSubject
KMAX001,Blick,0,0,1119.9955,1053.2625,NA,.,0,0,0,Korean,DifferentAgent,OvertSubject
KMAX001,Blick,1,33,1185.946,1050.095,NA,.,0,0,0,Korean,DifferentAgent,OvertSubject
KMAX001,Blick,2,67,1596.5305,1004.5047,NA,.,0,0,0,Korean,DifferentAgent,OvertSubject
KMAX001,Blick,3,100,1621.5285,995.455,NA,.,0,0,0,Korean,DifferentAgent,OvertSubject
KMAX001,Blick,4,133,1580.8845,1016.84605,NA,.,0,0,0,Korean,DifferentAgent,OvertSubject
KMAX001,Blick,5,167,1569.438,995.6592,NA,.,0,0,0,Korean,DifferentAgent,OvertSubject
KMAX001,Blick,6,200,1583.769,996.86045,NA,.,0,0,0,Korean,DifferentAgent,OvertSubject
KMAX001,Blick,7,233,1538.81,1034.341,NA,.,0,0,0,Korean,DifferentAgent,OvertSubject
KMAX001,Blick,8,267,1572.596,1041.249,NA,.,0,0,0,Korean,DifferentAgent,OvertSubject
KMAX001,Blick,9,300,1524.8245,890.3128,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Blick,10,333,1488.017,342.9708,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Blick,11,367,1418.466,568.7535,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Blick,12,400,1461.4145,520.6028,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Blick,13,433,1461.4145,520.6028,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Blick,14,467,1443.5965,537.70055,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Blick,15,500,1420.417,509.44395,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Blick,16,533,1365.8385,470.3218,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Blick,17,567,1363.859,458.85165,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Blick,18,600,1366.506,463.0991,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Blick,19,633,1363.308,476.9197,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Blick,20,667,1365.34,470.2045,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Blick,21,700,1369.4735,468.68235,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Blick,22,733,1349.9125,468.513,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Blick,23,767,1361.0055,465.5251,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Blick,24,800,1349.938,419.7483,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Blick,25,833,1347.211,387.93595,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Blick,26,867,1353.1555,387.1235,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Blick,27,900,1369.8505,387.8894,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Blick,28,933,1369.8505,387.8894,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Blick,29,967,1350.114,378.3182,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Blick,30,1000,1375.492,411.581,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Blick,31,1033,1390.867,383.06065,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Blick,32,1067,1387.588,368.2458,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Blick,33,1100,1387.588,368.2458,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Blick,34,1133,1411.006,425.3212,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Blick,35,1167,1397.3015,370.2682,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Blick,36,1200,1397.3015,370.2682,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Blick,37,1233,1407.2615,348.56095,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Blick,38,1267,1393.9985,339.8871,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Blick,39,1300,1393.9985,339.8871,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Blick,40,1333,1426.3545,305.35455,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Blick,41,1367,1370.669,345.8476,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Blick,42,1400,1381.5475,316.4644,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Blick,43,1433,1381.5475,316.4644,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Blick,44,1467,1398.997,297.2046,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Blick,45,1500,1390.792,350.7173,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Blick,46,1533,1390.792,350.7173,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Blick,47,1567,1436.729,358.6639,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Blick,48,1600,1440.637,379.0935,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Blick,49,1633,1440.637,379.0935,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Blick,50,1667,1418.034,334.813,Right,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Blick,51,1700,-999,-999,TrackLoss,.,1,0,0,Korean,DifferentAgent,OvertSubject
KMAX001,Blick,52,1733,-999,-999,TrackLoss,.,1,0,0,Korean,DifferentAgent,OvertSubject
KMAX001,Blick,53,1767,-999,-999,TrackLoss,.,1,0,0,Korean,DifferentAgent,OvertSubject
KMAX001,Blick,54,1800,-999,-999,TrackLoss,.,1,0,0,Korean,DifferentAgent,OvertSubject
KMAX001,Blick,55,1833,-999,-999,TrackLoss,.,1,0,0,Korean,DifferentAgent,OvertSubject
KMAX001,Blick,56,1867,-999,-999,TrackLoss,.,1,0,0,Korean,DifferentAgent,OvertSubject
KMAX001,Blick,57,1900,-999,-999,TrackLoss,.,1,0,0,Korean,DifferentAgent,OvertSubject
KMAX001,Blick,58,1933,-999,-999,TrackLoss,.,1,0,0,Korean,DifferentAgent,OvertSubject
KMAX001,Blick,59,1967,-999,-999,TrackLoss,.,1,0,0,Korean,DifferentAgent,OvertSubject
KMAX001,Blick,60,2000,-999,-999,TrackLoss,.,1,0,0,Korean,DifferentAgent,OvertSubject
KMAX001,Blick,61,2033,-999,-999,TrackLoss,.,1,0,0,Korean,DifferentAgent,OvertSubject
KMAX001,Blick,62,2067,-999,-999,TrackLoss,.,1,0,0,Korean,DifferentAgent,OvertSubject
KMAX001,Blick,63,2100,-999,-999,TrackLoss,.,1,0,0,Korean,DifferentAgent,OvertSubject
KMAX001,Blick,64,2133,-999,-999,TrackLoss,.,1,0,0,Korean,DifferentAgent,OvertSubject
KMAX001,Blick,65,2167,-999,-999,TrackLoss,.,1,0,0,Korean,DifferentAgent,OvertSubject
KMAX001,Blick,66,2200,-999,-999,TrackLoss,.,1,0,0,Korean,DifferentAgent,OvertSubject
KMAX001,Blick,67,2233,-999,-999,TrackLoss,.,1,0,0,Korean,DifferentAgent,OvertSubject
KMAX001,Blick,68,2267,-999,-999,TrackLoss,.,1,0,0,Korean,DifferentAgent,OvertSubject
KMAX001,Blick,69,2300,-999,-999,TrackLoss,.,1,0,0,Korean,DifferentAgent,OvertSubject
KMAX001,Blick,70,2333,-999,-999,TrackLoss,.,1,0,0,Korean,DifferentAgent,OvertSubject
KMAX001,Blick,71,2367,-999,-999,TrackLoss,.,1,0,0,Korean,DifferentAgent,OvertSubject
KMAX001,Blick,72,2400,-999,-999,TrackLoss,.,1,0,0,Korean,DifferentAgent,OvertSubject
KMAX001,Blick,73,2433,-999,-999,TrackLoss,.,1,0,0,Korean,DifferentAgent,OvertSubject
KMAX001,Blick,74,2467,-999,-999,TrackLoss,.,1,0,0,Korean,DifferentAgent,OvertSubject
KMAX001,Larp,0,0,876.9405,1004.6456,NA,.,0,0,0,Korean,DifferentAgent,OvertSubject
KMAX001,Larp,1,33,849.0912,1036.3555,NA,.,0,0,0,Korean,DifferentAgent,OvertSubject
KMAX001,Larp,2,67,888.06555,931.2485,NA,.,0,0,0,Korean,DifferentAgent,OvertSubject
KMAX001,Larp,3,100,864.75055,1025.902,NA,.,0,0,0,Korean,DifferentAgent,OvertSubject
KMAX001,Larp,4,133,891.79715,911.5405,NA,.,0,0,0,Korean,DifferentAgent,OvertSubject
KMAX001,Larp,5,167,851.3609,1014.36285,NA,.,0,0,0,Korean,DifferentAgent,OvertSubject
KMAX001,Larp,6,200,854.47235,956.3579,NA,.,0,0,0,Korean,DifferentAgent,OvertSubject
KMAX001,Larp,7,233,608.9541,615.3264,Left,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Larp,8,267,479.56605,575.76045,Left,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Larp,9,300,485.4764,580.7803,Left,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Larp,10,333,562.1681,557.80475,Left,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Larp,11,367,567.8693,541.96915,Left,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Larp,12,400,570.00995,549.40285,Left,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Larp,13,433,502.0164,548.48575,Left,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Larp,14,467,410.23495,597.41625,Left,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Larp,15,500,422.6973,578.4158,Left,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Larp,16,533,417.28295,621.47825,Left,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Larp,17,567,418.2042,590.4421,Left,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Larp,18,600,426.84295,622.30035,Left,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Larp,19,633,418.48265,632.11385,Left,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Larp,20,667,430.78275,636.4337,Left,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Larp,21,700,421.9795,617.57685,Left,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Larp,22,733,418.694,605.62475,Left,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Larp,23,767,411.4401,606.5768,Left,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Larp,24,800,428.7807,622.30805,Left,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Larp,25,833,428.56275,609.6337,Left,target,0,1,0,Korean,DifferentAgent,OvertSubject
