Participant,Trial,Correct,Age,Language,AgentType,SentenceType
KKMAX001,Sem,1,50.63,Korean,DifferentAgent,OvertSubject
KKMAX001,Blick,1,50.63,Korean,DifferentAgent,OvertSubject
KKMAX001,Larp,0,50.63,Korean,DifferentAgent,OvertSubject
KKMAX002,Sem,0,51.48,Korean,SameAgent,OvertSubject
KKMAX002,Larp,1,51.48,Korean,SameAgent,OvertSubject
KKMAX003,Sem,0,48.95,Korean,DifferentAgent,OvertSubject
KKMAX003,Blick,1,48.95,Korean,DifferentAgent,OvertSubject
KKMAX003,Larp,1,48.95,Korean,DifferentAgent,OvertSubject
KKMAX004,Sem,0,55.16,Korean,SameAgent,DroppedSubject
KKMAX004,Blick,1,55.16,Korean,SameAgent,DroppedSubject
KKMAX004,Larp,0,55.16,Korean,SameAgent,DroppedSubject
KKMAX005,Sem,1,51.58,Korean,DifferentAgent,DroppedSubject
KKMAX005,Blick,1,51.58,Korean,DifferentAgent,DroppedSubject
KKMAX005,Larp,1,51.58,Korean,DifferentAgent,DroppedSubject
KKMAX006,Sem,1,49.35,Korean,SameAgent,DroppedSubject
KKMAX006,Blick,0,49.35,Korean,SameAgent,DroppedSubject
KKMAX006,Larp,1,49.35,Korean,SameAgent,DroppedSubject
KKMAX007,Sem,0,52.3,Korean,SameAgent,OvertSubject
KKMAX007,Blick,1,52.3,Korean,SameAgent,OvertSubject
KKMAX007,Larp,1,52.3,Korean,SameAgent,OvertSubject
KKMAX008,Blick,1,54.24,Korean,DifferentAgent,DroppedSubject
KKMAX008,Larp,0,54.24,Korean,DifferentAgent,DroppedSubject
KKMAX009,Sem,1,48.16,Korean,DifferentAgent,OvertSubject
KKMAX009,Blick,1,48.16,Korean,DifferentAgent,OvertSubject
KKMAX009,Larp,1,48.16,Korean,DifferentAgent,OvertSubject
KKMAX011,Sem,1,61.04,Korean,DifferentAgent,DroppedSubject
KKMAX011,Blick,1,61.04,Korean,DifferentAgent,DroppedSubject
KKMAX011,Larp,0,61.04,Korean,DifferentAgent,DroppedSubject
KKMAX012,Sem,1,50.66,Korean,SameAgent,OvertSubject
KKMAX012,Blick,1,50.66,Korean,SameAgent,OvertSubject
KKMAX012,Larp,1,50.66,Korean,SameAgent,OvertSubject
KKMAX013,Sem,1,48.49,Korean,SameAgent,DroppedSubject
KKMAX013,Blick,0,48.49,Korean,SameAgent,DroppedSubject
KKMAX013,Larp,1,48.49,Korean,SameAgent,DroppedSubject
KKMAX015,Sem,1,55.06,Korean,DifferentAgent,OvertSubject
KKMAX015,Blick,1,55.06,Korean,DifferentAgent,OvertSubject
KKMAX015,Larp,0,55.06,Korean,DifferentAgent,OvertSubject
KKMAX016,Sem,0,54.44,Korean,SameAgent,OvertSubject
KKMAX016,Blick,1,54.44,Korean,SameAgent,OvertSubject
KKMAX016,Larp,1,54.44,Korean,SameAgent,OvertSubject
KKMAX017,Blick,0,55.72,Korean,DifferentAgent,OvertSubject
KKMAX017,Larp,1,55.72,Korean,DifferentAgent,OvertSubject
KKMAX018,Sem,1,48.49,Korean,SameAgent,DroppedSubject
KKMAX018,Blick,1,48.49,Korean,SameAgent,DroppedSubject
KKMAX018,Larp,1,48.49,Korean,SameAgent,DroppedSubject
KKMAX019,Sem,0,63.38,Korean,SameAgent,DroppedSubject
KKMAX019,Blick,1,63.38,Korean,SameAgent,DroppedSubject
KKMAX019,Larp,1,63.38,Korean,SameAgent,DroppedSubject
KKMAX020,Sem,0,53.82,Korean,SameAgent,OvertSubject
KKMAX020,Blick,1,53.82,Korean,SameAgent,OvertSubject
KKMAX020,Larp,0,53.82,Korean,SameAgent,OvertSubject
KKMAX021,Sem,0,64.82,Korean,SameAgent,DroppedSubject
KKMAX021,Blick,0,64.82,Korean,SameAgent,DroppedSubject
KKMAX021,Larp,0,64.82,Korean,SameAgent,DroppedSubject
KKMAX022,Sem,0,48.36,Korean,SameAgent,OvertSubject
KKMAX022,Blick,1,48.36,Korean,SameAgent,OvertSubject
KKMAX022,Larp,1,48.36,Korean,SameAgent,OvertSubject
KKMAX023,Sem,1,66.89,Korean,DifferentAgent,DroppedSubject
KKMAX023,Blick,1,66.89,Korean,DifferentAgent,DroppedSubject
KKMAX023,Larp,1,66.89,Korean,DifferentAgent,DroppedSubject
KKMAX024,Sem,0,68.01,Korean,DifferentAgent,DroppedSubject
KKMAX024,Blick,1,68.01,Korean,DifferentAgent,DroppedSubject
KKMAX024,Larp,1,68.01,Korean,DifferentAgent,DroppedSubject
KKMAX027,Sem,1,70.97,Korean,SameAgent,OvertSubject
KKMAX027,Blick,0,70.97,Korean,SameAgent,OvertSubject
KKMAX027,Larp,1,70.97,Korean,SameAgent,OvertSubject
KKMAX028,Sem,0,70.97,Korean,DifferentAgent,DroppedSubject
KKMAX028,Blick,1,70.97,Korean,DifferentAgent,DroppedSubject
KKMAX028,Larp,0,70.97,Korean,DifferentAgent,DroppedSubject
KKMAX029,Sem,0,66.3,Korean,SameAgent,OvertSubject
KKMAX029,Blick,1,66.3,Korean,SameAgent,OvertSubject
KKMAX029,Larp,1,66.3,Korean,SameAgent,OvertSubject
KKMAX031,Sem,0,70.21,Korean,SameAgent,OvertSubject
KKMAX031,Blick,1,70.21,Korean,SameAgent,OvertSubject
KKMAX031,Larp,0,70.21,Korean,SameAgent,OvertSubject
KKMAX032,Sem,0,66.79,Korean,DifferentAgent,DroppedSubject
KKMAX032,Blick,1,66.79,Korean,DifferentAgent,DroppedSubject
KKMAX032,Larp,1,66.79,Korean,DifferentAgent,DroppedSubject
KKMAX033,Blick,0,62.36,Korean,DifferentAgent,DroppedSubject
KKMAX033,Larp,1,62.36,Korean,DifferentAgent,DroppedSubject
KKMAX034,Sem,1,49.87,Korean,SameAgent,OvertSubject
KKMAX034,Blick,1,49.87,Korean,SameAgent,OvertSubject
KKMAX034,Larp,1,49.87,Korean,SameAgent,OvertSubject
KKMAX035,Sem,0,63.11,Korean,DifferentAgent,DroppedSubject
KKMAX035,Blick,1,63.11,Korean,DifferentAgent,DroppedSubject
KKMAX035,Larp,0,63.11,Korean,DifferentAgent,DroppedSubject
KKMAX036,Sem,0,57.46,Korean,SameAgent,DroppedSubject
KKMAX036,Blick,1,57.46,Korean,SameAgent,DroppedSubject
KKMAX036,Larp,1,57.46,Korean,SameAgent,DroppedSubject
